date,new_cases,total_cases
2020-10-04,819,56357
2020-10-05,1290,57647
2020-10-06,1168,58815
2020-10-07,1403,60218
2020-10-08,1474,61692
2020-10-09,1345,63037
2020-10-10,872,63909
2020-10-11,741,64650
2020-10-12,1572,66222
2020-10-13,1424,67646
2020-10-14,1622,69268
2020-10-15,1719,70987
2020-10-16,1652,72639
2020-10-17,1107,73746
2020-10-18,1295,75041
2020-10-19,2334,77375
2020-10-20,2313,79688
2020-10-21,2350,82038
2020-10-22,2170,84208
2020-10-23,2000,86208
2020-10-24,1432,87640
2020-10-25,1291,88931
2020-10-26,2523,91454
2020-10-27,2087,93541
2020-10-28,1964,95505
2020-10-29,2007,97512
2020-10-30,1873,99385
2020-10-31,1383,100768
2020-11-01,1200,101968
2020-11-02,2906,104874
2020-11-03,2127,107001
2020-11-04,2046,109047
2020-11-05,2088,111135
2020-11-06,2113,113248
2020-11-07,1647,114895
2020-11-08,1757,116652
2020-11-09,3074,119726
2020-11-10,2721,122447
2020-11-11,2905,125352
2020-11-12,2833,128185
2020-11-13,2689,130874
2020-11-14,1924,132798
2020-11-15,1796,134594
2020-11-16,3069,137663
2020-11-17,2551,140214
2020-11-18,2451,142665
2020-11-19,2181,144846
2020-11-20,2108,146954
2020-11-21,1477,148431
2020-11-22,1479,149910
2020-11-23,2385,152295
2020-11-24,2151,154446
2020-11-25,2238,156684
2020-11-26,2064,158748
2020-11-27,2194,160942
2020-11-28,1635,162577
2020-11-29,1651,164228
2020-11-30,2689,166917
2020-12-01,2451,169368
2020-12-02,2791,172159
2020-12-03,2450,174609
2020-12-04,2912,177521
2020-12-05,2237,179758
2020-12-06,2420,182178
2020-12-07,3703,185881
2020-12-08,3697,189578
2020-12-09,4409,193987
2020-12-10,4997,198984
2020-12-11,5468,204452
2020-12-12,4654,209106
2020-12-13,5492,214598
2020-12-14,8309,222907
2020-12-15,8818,231725
2020-12-16,9962,241687
2020-12-17,10130,251817
2020-12-18,10766,262583
2020-12-19,7140,269723
2020-12-20,8875,278598
2020-12-21,13208,291806
2020-12-22,13317,305123
2020-12-23,12317,317440
2020-12-24,9402,326842
2020-12-25,4324,331166
2020-12-26,11849,343015
2020-12-27,13121,356136
2020-12-28,10666,366802
2020-12-29,19860,386662
2020-12-30,17303,403965
2020-12-31,12385,416350
2021-01-01,6735,423085
2021-01-02,13621,436706
2021-01-03,13108,449814
2021-01-04,17220,467034
2021-01-05,14534,481568
2021-01-06,13536,495104
2021-01-07,12052,507156
2021-01-08,10516,517672
2021-01-09,8729,526401
2021-01-10,7460,533861
2021-01-11,11534,545395
2021-01-12,9821,555216
2021-01-13,9302,564518
2021-01-14,8913,573431
2021-01-15,8181,581612
2021-01-16,6164,587776
2021-01-17,5382,593158
2021-01-18,8291,601449
2021-01-19,6997,608446
2021-01-20,6237,614683
2021-01-21,5787,620470
2021-01-22,5560,626030
2021-01-23,4143,630173
2021-01-24,3114,633287
2021-01-25,4956,638243
2021-01-26,4140,642383
2021-01-27,4201,646584
2021-01-28,3848,650432
2021-01-29,3375,653807
2021-01-30,2621,656428
2021-01-31,2231,658659
2021-02-01,3288,661947
2021-02-02,2943,664890
2021-02-03,2696,667586
2021-02-04,2464,670050
2021-02-05,2108,672158
2021-02-06,1540,673698
2021-02-07,1338,675036
2021-02-08,1795,676831
2021-02-09,1658,678489
2021-02-10,1530,680019
2021-02-11,1437,681456
2021-02-12,1274,682730
2021-02-13,865,683595
2021-02-14,880,684475
2021-02-15,1378,685853
2021-02-16,1194,687047
2021-02-17,1086,688133
2021-02-18,1100,689233
2021-02-19,1025,690258
2021-02-20,798,691056
2021-02-21,738,691794
2021-02-22,1020,692814
2021-02-23,918,693732
2021-02-24,727,694459
2021-02-25,649,695108
2021-02-26,619,695727
2021-02-27,499,696226
2021-02-28,473,696699
2021-03-01,550,697249
2021-03-02,657,697906
2021-03-03,579,698485
2021-03-04,509,698994
2021-03-05,500,699494
2021-03-06,400,699894
2021-03-07,407,700301
2021-03-08,562,700863
2021-03-09,590,701453
2021-03-10,528,701981
2021-03-11,453,702434
2021-03-12,509,702943
2021-03-13,363,703306
2021-03-14,362,703668
2021-03-15,596,704264
2021-03-16,505,704769
2021-03-17,453,705222
2021-03-18,475,705697
2021-03-19,441,706138
2021-03-20,370,706508
2021-03-21,456,706964
2021-03-22,532,707496
2021-03-23,471,707967
2021-03-24,606,708573
2021-03-25,447,709020
2021-03-26,420,709440
2021-03-27,296,709736
2021-03-28,465,710201
2021-03-29,400,710601
2021-03-30,351,710952
2021-03-31,298,711250
2021-04-01,334,711584
2021-04-02,247,711831
2021-04-03,236,712067
2021-04-04,209,712276
2021-04-05,241,712517
2021-04-06,330,712847
2021-04-07,337,713184
2021-04-08,317,713501
2021-04-09,355,713856
2021-04-10,271,714127
2021-04-11,290,714417
2021-04-12,346,714763
2021-04-13,284,715047
2021-04-14,259,715306
2021-04-15,295,715601
2021-04-16,287,715888
2021-04-17,181,716069
2021-04-18,323,716392
2021-04-19,265,716657
2021-04-20,100,716757
